,Player,Season,MIPFlag,Age,Pos,G,MP,MP_per_game,FG,FT,FG_Perc,3P_Perc,eFG_Perc,FT_Perc,TRB,AST,STL,BLK,PS_per_game,USG_Perc,year_no
3962,Keith Askins,1998,0.0,31,9,-13.0,-266.0,-2.200000000000001,-0.20000000000000007,-0.09999999999999998,0.0029999999999999467,-0.007999999999999952,-0.019000000000000017,-0.007000000000000006,-0.9000000000000001,-0.3,-0.09999999999999998,-0.2,-0.7999999999999998,-1.299999999999999,9.0
463,Milos Babic,1991,0.0,23,0,-3.0,-17.0,-0.3999999999999999,0.2,0.09999999999999998,0.14600000000000002,0.0,0.14600000000000002,0.16700000000000004,0.3999999999999999,0.4,0.0,-0.1,0.3999999999999999,1.1999999999999993,2.0
465,Thurl Bailey,1991,0.0,30,3,2.0,-382.0,-5.300000000000002,-0.5,-0.10000000000000007,-0.01799999999999996,0.0,-0.01799999999999996,-0.012000000000000009,0.7999999999999998,-0.6,-0.2,0.2999999999999998,-1.0999999999999996,1.5,2.0
926,Thurl Bailey,1992,0.0,31,3,-14.0,-828.0,-6.800000000000002,-1.5000000000000004,-0.9000000000000001,0.015000000000000013,0.0,0.015000000000000013,0.04200000000000004,-2.7,0.0,-0.10000000000000003,-0.7,-3.8000000000000007,-1.6999999999999993,3.0
1375,Thurl Bailey,1993,0.0,32,3,9.0,21.0,-1.8000000000000007,0.0,-0.2,0.054999999999999986,0.0,0.054999999999999986,-0.03899999999999992,-0.3999999999999999,-0.20000000000000007,0.0,0.0,-0.09999999999999963,-0.3000000000000007,4.0
3966,Thurl Bailey,1998,0.0,37,3,-36.0,-754.0,-3.799999999999999,-1.1,-0.9,-0.064,0.0,-0.064,-0.06400000000000006,-0.5,-0.09999999999999998,-0.09999999999999998,0.0,-3.2,-0.3999999999999986,5.0
469,Charles Barkley,1991,0.0,28,9,8.0,383.0,1.1000000000000014,-1.5999999999999996,-1.0,-0.0179999999999999,-0.04999999999999999,-0.02199999999999991,-0.027000000000000024,1.0,-0.10000000000000052,0.2,0.09999999999999998,-4.5,-4.0,2.0
928,Charles Barkley,1992,0.0,29,3,1.0,-22.0,-0.7999999999999972,1.0999999999999996,-0.1999999999999993,-0.03200000000000003,0.07100000000000001,-0.02200000000000002,0.07000000000000006,1.0999999999999996,1.0,-0.2,0.4,2.5,1.7999999999999972,3.0
1377,Charles Barkley,1993,0.0,30,3,-11.0,-561.0,-2.200000000000003,-1.4000000000000004,-1.0,-0.025000000000000026,-0.034999999999999976,-0.027000000000000024,-0.060999999999999936,-1.0,-0.5,0.0,-0.4,-4.0,-0.3999999999999986,4.0
1850,Charles Barkley,1994,0.0,31,3,3.0,84.0,-0.3999999999999986,0.09999999999999963,0.6999999999999993,-0.009000000000000008,0.06799999999999995,0.0,0.04399999999999993,-0.09999999999999963,-0.5,0.0,0.09999999999999998,1.3999999999999986,1.0,5.0
2306,Charles Barkley,1995,0.0,32,3,3.0,250.0,2.1000000000000014,0.09999999999999963,0.6000000000000005,0.014000000000000012,-0.05799999999999994,0.003000000000000003,0.029000000000000026,0.5,-0.39999999999999947,0.0,0.10000000000000007,0.1999999999999993,0.0,6.0
2854,Charles Barkley,1996,0.0,33,3,-18.0,-623.0,0.7999999999999972,-1.8999999999999997,-0.7999999999999998,-0.016000000000000014,0.003000000000000003,0.0050000000000000044,-0.08299999999999996,1.9000000000000004,1.0,-0.30000000000000004,-0.30000000000000004,-4.0,-4.300000000000002,7.0
3427,Charles Barkley,1997,0.0,34,3,15.0,234.0,-4.899999999999999,-1.0,-1.0,0.0010000000000000009,-0.06900000000000002,-0.02899999999999997,0.051999999999999935,-1.8000000000000007,-1.5,-0.30000000000000004,-0.09999999999999998,-4.0,-1.599999999999998,8.0
3970,Charles Barkley,1998,0.0,35,3,-26.0,-717.0,3.299999999999997,0.4000000000000004,0.1999999999999993,-0.007000000000000006,-0.053999999999999986,-0.015000000000000013,-0.026999999999999916,0.6000000000000014,1.3999999999999997,0.0,-0.10000000000000003,0.9000000000000021,0.5999999999999979,9.0
4477,Charles Barkley,1999,0.0,36,3,-22.0,-906.0,-5.299999999999997,-0.4000000000000004,-0.9999999999999996,-0.0009999999999999454,0.07100000000000001,0.00899999999999995,-0.07400000000000008,-1.8000000000000007,-1.3999999999999997,-0.30000000000000004,-0.09999999999999998,-1.6000000000000014,0.10000000000000142,10.0
470,Dana Barros,1991,0.0,24,6,9.0,581.0,6.299999999999999,0.9000000000000004,-0.3999999999999999,-0.012000000000000009,0.05099999999999999,0.020000000000000014,-0.15899999999999992,0.0,0.0,0.4,0.1,2.000000000000001,-4.100000000000001,2.0
929,Dana Barros,1992,0.0,25,6,-6.0,-88.0,0.3000000000000007,-0.10000000000000007,-0.10000000000000007,-0.031999999999999966,-0.067,-0.048000000000000036,0.07199999999999995,0.5,0.5000000000000002,0.20000000000000007,-0.1,-0.5000000000000009,0.5,3.0
1378,Dana Barros,1993,0.0,26,6,12.0,1276.0,13.1,2.0,0.7,0.01799999999999996,0.0020000000000000018,0.027000000000000024,-0.03099999999999992,0.7999999999999998,3.0,0.4,0.1,5.500000000000001,0.20000000000000284,4.0
1851,Dana Barros,1994,1.0,27,6,1.0,799.0,9.4,1.9000000000000004,2.8000000000000003,0.02100000000000002,0.08299999999999996,0.028999999999999918,0.09899999999999998,0.8999999999999999,2.3,0.5,-0.1,7.300000000000002,2.099999999999998,5.0
